RBLBANK.NS,FEDERALBNK.NS,UNIONBANK.NS,INDIANB.NS,TVSMOTOR.NS,TATAMOTORS.NS,ESCORTS.NS,M&M.NS,TORNTPOWER.NS,PTC.NS,TRIL.NS,POWERGRID.NS,VINYLINDIA.NS,DEEPAKNTR.NS,PIDILITIND.NS,GEECEE.NS,WELENT.NS,VASCONEQ.NS,NITCO.NS,SOBHA.NS,UMANGDAIRY.NS,PARAGMILK.NS,JUBLFOOD.NS,TASTYBITE.NS,VIPIND.NS,SUPREMEIND.NS,TEXMOPIPES.NS,TAINWALCHM.NS,MIRCELECTR.NS,PGEL.NS,SALZERELEC.NS,BEL.NS
393.4356384277,84.6144714355,64.3499984741,181.2548980713,371.5553283691,121.3499984741,465.7762756348,519.7452392578,270.824432373,47.1538467407,8.8999996185,141.1808624268,58.3030891418,268.4095458984,1358.4366455078,78,94.0594863892,11.3999996185,21.5499992371,454.2494812012,43.7021903992,168.0740966797,1102.8757324219,8602.724609375,381.2215270996,1072.2080078125,17.4500007629,50.0999984741,12.6999998093,45.9000015259,111.1836395264,89.7783050537
396.8555297852,85.0112457275,64.1500015259,180.909942627,366.4277038574,120.8000030518,462.4407958984,512.5573120117,268.0590209961,47.5624580383,8.9499998093,140.098236084,57.9765930176,272.3196411133,1358.0893554688,78.5,93.820640564,12.1000003815,21.7000007629,450.8470153809,43.4593963623,167.6786346436,1144.9376220703,8699.6484375,384.9945068359,1087.7720947266,17.5,49.5,12.8999996185,45.4500007629,113.0630722046,91.413192749
386.6950073242,84.0688858032,61.75,176.9674835205,363.7159729004,123.8499984741,457.3628540039,519.6960449219,272.2305908203,48.4614028931,8.5500001907,139.4216003418,57.5101661682,271.775177002,1360.1724853516,77.8499984741,92.674156189,12.3500003815,21.7000007629,453.8660583496,43.6536331177,159.2749328613,1142.7082519531,8657.4599609375,386.2356262207,1092.5718994141,17.5,49.7999992371,12.6499996185,44.5999984741,110.9857940674,88.7511291504
369.000793457,81.5393753052,60.25,171.1523284912,362.5820007324,112.4000015259,447.4559020996,512.9020385742,264.1686706543,47.4807357788,7.9499998093,138.6434783936,57.5568084717,266.5782470703,1355.3120117188,77.6500015259,90.0467910767,11.3999996185,20.4500007629,444.8088989258,42.7310295105,141.2810974121,1116.7478027344,8607.4248046875,378.0938720703,1090.7780761719,16.8999996185,50.0999984741,12.0500001907,44.1500015259,109.3041992188,87.4200973511
346.3006896973,79.7538452148,58.5499992371,164.8936767578,351.340637207,107.6999969482,430.7783203125,503.9416809082,264.3092651367,47.4398765564,7.8000001907,137.1886749268,56.2974624634,257.520690918,1350.4016113281,76.3000030518,86.0818710327,10.5,20,432.684753418,41.7598686218,135.2996520996,1095.4936523438,8520.8486328125,368.2145996094,1066.5837402344,15.5500001907,42.75,11.0500001907,41.7999992371,105.446395874,88.7035980225
351.1083679199,80.0514297485,59.4000015259,164.105178833,360.4618835449,111.0500030518,451.6875,525.0623168945,266.1372680664,46.867816925,7.9499998093,136.3428955078,57.5568084717,271.0327453613,1348.7650146484,79.8499984741,85.986328125,10.4499998093,19.6000003815,450.463684082,41.5170822144,132.2842102051,1143.9467773438,8319.203125,370.8954162598,1097.6629638672,15.9499998093,47.5,10.5500001907,42.4500007629,104.8034286499,94.9784469604
372.4702453613,82.3329544067,61.4500007629,180.9592285156,361.4972839355,110.5500030518,473.1940612793,535.9426879883,270.7307128906,46.5409317017,7.8499999046,137.2901763916,58.3030891418,275.5368041992,1375.2006835938,82.5,88.0404510498,10.8999996185,20.6499996185,479.8875732422,43.2651672363,138.3645172119,1166.9842529297,8366.8408203125,389.3135986328,1088.40234375,16.1499996185,47,11,44.5,106.3861236572,97.1651382446
353.6360778809,83.3745193481,62.6500015259,189.8297729492,365.195098877,120.3499984741,493.40625,545.54296875,265.6217041016,45.8871536255,8.1499996185,139.7599182129,59.6557235718,283.8518676758,1360.8173828125,83.8499984741,89.8557128906,10.9499998093,22.1000003815,481.9002685547,43.7021903992,143.6044921875,1186.8510742188,8423.474609375,415.7742004395,1108.2813720703,16.6000003815,48.4500007629,12.6499996185,45.5999984741,108.0677261353,98.5437088013
311.110534668,81.1921920776,60.2999992371,193.4765625,354.7426452637,116.3499984741,490.6183776855,531.4133300781,263.2781066895,46.2548980713,7.9499998093,139.2186279297,60.6352119446,282.5155334473,1367.2650146484,83.1500015259,87.1805877686,10.8500003815,24.1000003815,504.6630554199,43.55651474,136.189453125,1174.4157714844,8362.892578125,412.4976806641,1080.111328125,16.2999992371,46.7000007629,11.8500003815,48.2000007629,109.8976974487,98.5912399292
316.413848877,79.7538452148,59.6500015259,188.5484771729,349.2698974609,114.3000030518,515.0621337891,519.8930053711,259.6221313477,45.7645645142,7.5999999046,138.5758209229,60.5419273376,277.5660705566,1363.0988769531,83.4000015259,84.4099121094,10.5,23.4500007629,515.3975219727,42.8281440735,137.3758544922,1190.6160888672,8302.7578125,419.1500549316,1066.6807861328,15.8999996185,46.0499992371,12.5500001907,46.2000007629,109.5514907837,99.5419769287
324.3440246582,82.233757019,58.8499984741,197.0247650146,348.0372924805,116.6999969482,507.9928894043,520.6806640625,260.6064453125,46.1323165894,7.4499998093,135.6662445068,58.7695121765,272.7155761719,1366.6202392578,79.9000015259,85.8907928467,10.5500001907,22.8500003815,513.432800293,42.7310295105,138.3645172119,1178.3294677734,8326.1025390625,433.1994934082,1071.9171142578,16,47,12.1000003815,45.9500007629,112.9146957397,97.830657959
312.6470031738,80.7458114624,53.5999984741,174.010635376,356.0245361328,112.6500015259,489.4733276367,507.5356750488,256.1535949707,46.1731796265,7.0999999046,133.3318481445,60.0288581848,269.3004455566,1337.8038330078,79.3000030518,84.3621444702,10.3500003815,22.25,512.4743041992,42.973815918,136.189453125,1166.2412109375,8256.62109375,418.802520752,1059.8441162109,15.6999998093,45.0499992371,11.6999998093,44.1500015259,109.2547302246,95.8816375732
322.0640869141,81.2913894653,53.7000007629,164.2037506104,361.053527832,109.5,456.5662841797,497.9353942871,253.669418335,45.8054275513,7,133.2303466797,59.4225082397,268.9044799805,1349.7072753906,79,84.2188339233,12.1000003815,22.6000003815,512.5222167969,42.8281440735,133.6188964844,1186.6527099609,8383.28515625,401.9729919434,1061.4444580078,15.6999998093,45.0999984741,12.1999998093,44.4000015259,109.5020294189,101.2533035278
319.0902709961,80.3490219116,54.5499992371,163.9573364258,365.441619873,118.0500030518,468.9126586914,509.0618896484,255.1693267822,46.5817909241,7.4499998093,134.8881225586,59.8422927856,271.5277099609,1358.3374023438,81.0500030518,84.2666015625,12.1000003815,23.1000003815,507.8738708496,44.1877670288,132.6796569824,1190.5667724609,8289.810546875,394.8241577148,1061.9290771484,15.6999998093,47.5,12.1999998093,45.3499984741,113.656578064,102.5367889404
333.5132751465,82.4817504883,55.0999984741,161.986114502,376.1898803711,121.25,483.6983947754,521.369934082,256.7629394531,48.7474365234,8.25,137.6961669922,59.0960121155,273.2600097656,1361.1149902344,83.4499969482,84.6965332031,11.8500003815,22.8999996185,502.6024475098,42.8281440735,135.3490753174,1193.9851074219,8298.7099609375,394.2780761719,1068.1353759766,16,47.5,12.1000003815,48.8499984741,114.6952133179,103.6776809692
357.2542114258,85.5568313599,56.2999992371,163.168838501,383.5854797363,121.9000015259,502.0686035156,524.373046875,260.7001647949,50.6679153442,7.9000000954,137.2901763916,59.5624313354,275.7347412109,1363.6442871094,100.0999984741,85.986328125,12.75,23.25,504.7589416504,43.2651672363,146.0761566162,1198.2952880859,8448.7666015625,396.3134765625,1075.6020507813,16.1000003815,47.2000007629,12.1999998093,51.5,113.8049621582,104.2956619263
374.948425293,85.0112457275,59.7000007629,164.8936767578,397.3413391113,134.3500061035,528.4041748047,537.3704223633,261.6376342773,51.6894454956,7.9499998093,136.2752227783,60.1687889099,275.8832397461,1363.8427734375,100.8000030518,88.8525390625,13.3500003815,25.4500007629,509.1677246094,44.2473487854,156.2594909668,1245.5594482422,8432.6220703125,396.2638549805,1114.4389648438,17.6499996185,56.25,12.6000003815,54,122.4602661133,102.6318664551
363.8461608887,85.0608520508,59.1500015259,163.8587799072,383.8813476563,127.9499969482,520.8869018555,535.2534179688,263.2312011719,52.3840827942,8.8999996185,135.0910949707,61.0549926758,270.2903442383,1360.4205322266,99.8499984741,94.7760391235,13.25,28.3500003815,507.0591125488,44.296459198,157.5941772461,1218.9052734375,8351.294921875,410.4125976563,1100.2327880859,17.2999992371,53.4500007629,11.9499998093,53.2999992371,121.8667526245,102.679397583
367.9104003906,86.4496002197,59.3499984741,162.7745819092,384.9167175293,129.5500030518,532.7850952148,542.7860107422,262.762512207,52.9561424255,9,137.1210327148,63.2938346863,274.299407959,1366.421875,102.6500015259,93.0085449219,13.1999998093,31.7999992371,507.3466491699,44.3946762085,160.4613342285,1239.6636962891,8389.8349609375,401.0297241211,1096.1599121094,17.2000007629,54,11.8000001907,51.7000007629,124.5375442505,103.29737854
356.6594543457,84.8128585815,59.1500015259,161.6411437988,381.8106079102,128.6000061035,533.6314697266,528.7055053711,262.1063232422,52.5883903503,8.4499998093,136.7827148438,65.6725921631,271.8246765137,1348.2193603516,100.1999969482,97.2601013184,13.3500003815,31.8500003815,503.1774597168,43.8544769287,163.5756530762,1264.7833251953,8339.2978515625,414.3345031738,1100.7175292969,16.8500003815,53.0999984741,12,51.7000007629,121.7183837891,103.9153594971
348.2832336426,83.0769271851,56.25,157.1072998047,367.0193481445,122,501.3716125488,513.9358520508,259.9971313477,52.2206420898,8.25,135.6324310303,62.4076271057,265.9843444824,1311.6658935547,96.1999969482,91.7665252686,12.6000003815,29.5499992371,479.1208190918,42.5776367188,157.5447540283,1244.9859619141,8302.7080078125,426.2988891602,1094.171875,17,51.5,11.3500003815,51.0499992371,120.6302871704,102.7269515991
345.8545837402,83.8704986572,56.7999992371,156.8116149902,368.7449645996,121.75,510.6313781738,518.9083251953,262.809387207,52.874420166,8.1999998093,136.7150421143,62.4542655945,267.1227111816,1299.2166748047,95.3000030518,92.8174667358,12.6499996185,27.7000007629,499.1999511719,42.8722953796,157.7424926758,1237.3756103516,8416.4765625,447.9439697266,1081.6627197266,17.3500003815,50.2999992371,12.1000003815,50.1500015259,118.4540939331,101.6335983276
