STATE BANK OF INDIA,Hindustan Aeronautics Ltd,PANACEA BIOTEC LTD.,HINDUSTAN COPPER LTD.,HAVELLS INDIA LTD.,ITC LTD.,BAYER CROPSCIENCE LTD.,BHARAT ELECTRONICS LTD.,BHARAT HEAVY ELECTRICALS LTD.,GREAT EASTERN SHIPPING CO.LTD.,Tata Consumer Products Ltd,MARUTI SUZUKI INDIA LTD.,COAL INDIA LTD.,MRF LTD.,ENGINEERS INDIA LTD.,INFOSYS LTD.,ORACLE FINANCIAL SERVICES SOFTWARE LTD.,Quick Heal Technologies Ltd,STEEL AUTHORITY OF INDIA LTD.,BAJAJ ELECTRICALS LTD.-$,Zee Media Corporation Limited,ATUL AUTO LTD.-$,HINDUSTAN MOTORS LTD.,RUCHI SOYA INDUSTRIES LTD.,BANCO PRODUCTS (INDIA) LTD.-$,JAY SHREE TEA & INDUSTRIES LTD.,IFB AGRO INDUSTRIES LTD.,HINDUJA GLOBAL SOLUTIONS LTD.,ANDHRA CEMENTS LTD.,TILAKNAGAR INDUSTRIES LTD.-$
215.75,1010.95,185.67,38.0,652.9,194.2,6092.35,110.3,39.25,277.6,545.05,7104.35,140.55,59305.95,70.45,946.4,3051.2,134.95,40.7,525.65,6.73,194.25,6.15,672.0,100.15,67.45,336.15,723.85,5.54,17.3
224.85,1010.85,183.45,38.05,639.25,195.55,6020.0,112.05,41.65,271.85,547.1,7098.9,139.0,59611.85,70.75,934.85,3041.1,132.9,40.95,522.05,7.06,189.15,6.14,660.15,96.9,69.65,338.2,712.85,5.37,16.55
212.15,925.85,179.98,36.4,615.7,191.25,5812.65,106.25,38.55,254.2,533.1,6837.9,134.45,57979.65,66.85,928.5,3030.05,126.0,38.55,498.45,7.11,177.45,6.08,629.4,90.2,66.6,318.15,680.95,5.23,15.85
218.1,891.7,181.38,36.7,621.5,190.3,5736.55,108.0,38.55,259.05,548.65,6909.15,133.5,58316.6,65.55,914.3,2973.1,126.0,40.1,479.5,7.0,175.3,5.99,608.0,93.05,66.7,308.3,682.65,5.15,16.25
216.2,894.45,180.8,37.2,630.15,191.45,5911.3,109.05,39.1,258.9,550.05,6921.35,136.3,58617.1,66.05,924.05,2960.7,128.2,41.65,488.25,7.04,177.25,6.22,613.3,93.35,66.9,315.0,690.35,5.24,16.1
213.15,925.15,182.58,37.15,645.25,191.65,5963.1,108.45,40.0,238.5,578.4,7071.6,135.65,58549.05,67.55,935.4,2937.65,128.0,41.85,509.05,7.39,182.65,6.15,621.45,93.25,66.5,313.75,709.25,5.21,15.65
206.65,910.75,179.4,36.35,634.55,186.65,5876.35,106.35,38.65,246.8,565.9,7191.5,132.4,58435.65,67.0,919.25,2981.6,125.1,40.5,489.85,7.75,179.2,5.97,604.85,92.4,65.75,318.55,704.6,5.17,16.0
207.9,891.75,178.44,35.95,648.65,189.3,5803.65,105.6,38.45,257.1,545.0,7210.1,131.95,58351.85,67.15,924.65,2963.55,128.5,40.4,475.35,7.64,179.05,5.92,598.25,90.75,65.3,316.9,724.45,5.1,15.85
204.0,869.7,185.86,35.2,637.7,188.15,5729.0,102.65,37.5,259.95,537.65,7225.65,130.05,58200.2,64.9,940.05,2967.45,128.45,38.65,470.75,7.26,177.05,5.88,581.05,88.9,65.6,325.95,718.1,5.06,15.6
194.9,839.05,185.47,34.55,640.85,183.95,5664.9,101.05,36.55,259.7,534.85,7214.2,126.9,58835.35,64.65,928.3,2925.4,126.8,39.3,451.95,6.9,171.5,5.65,552.0,89.5,61.95,307.45,695.1,4.88,15.4
